վ��,time,PM2.5,PM10,NO2,temperature,humidity
΢վ2,2022/9/30 0:00,3,8,27,22.1,75
΢վ2,2022/9/30 1:00,3,8,27,22,78
΢վ2,2022/9/30 2:00,3,8,26,21.9,79
΢վ2,2022/9/30 3:00,3,8,25,21.9,79
΢վ2,2022/9/30 4:00,3,8,24,21.8,78
΢վ2,2022/9/30 5:00,3,8,26,21.6,79
΢վ2,2022/9/30 6:00,3,8,25,22.4,75
΢վ2,2022/9/30 7:00,3,8,19,24.2,66
΢վ2,2022/9/30 8:00,3,8,13,26.2,59
΢վ2,2022/9/30 9:00,3,8,16,26.4,58
΢վ2,2022/9/30 10:00,3,8,15,27.2,55
΢վ2,2022/9/30 11:00,3,8,18,27.4,53
΢վ2,2022/9/30 12:00,3,8,17,27.7,50
΢վ2,2022/9/30 13:00,3,8,21,28.2,46
΢վ2,2022/9/30 14:00,3,8,23,27.7,49
΢վ2,2022/9/30 15:00,3,8,29,26.7,55
΢վ2,2022/9/30 16:00,8,24,34,25.6,60
΢վ2,2022/9/30 17:00,10,27,33,24,67
΢վ2,2022/9/30 18:00,11,27,33,23.1,71
΢վ2,2022/9/30 19:00,11,25,31,22.8,73
΢վ2,2022/9/30 20:00,12,25,29,22.7,74
΢վ2,2022/9/30 21:00,12,27,28,22.6,76
΢վ2,2022/9/30 22:00,11,24,26,22.5,75
΢վ2,2022/9/30 23:00,12,25,27,22.3,76
΢վ2,2022/10/1 0:00,13,28,27,22,77
΢վ2,2022/10/1 1:00,14,29,26,22,77
΢վ2,2022/10/1 2:00,12,25,22,22.4,74
΢վ2,2022/10/1 3:00,11,24,24,22.3,74
΢վ2,2022/10/1 4:00,14,30,27,21.7,76
΢վ2,2022/10/1 5:00,16,34,27,21.3,78
΢վ2,2022/10/1 6:00,17,41,26,21.7,76
΢վ2,2022/10/1 7:00,13,32,24,23.6,72
΢վ2,2022/10/1 8:00,13,31,22,24,72
΢վ2,2022/10/1 9:00,12,28,21,24.8,69
΢վ2,2022/10/1 10:00,12,27,20,25,68
΢վ2,2022/10/1 11:00,13,29,25,24.7,69
΢վ2,2022/10/1 12:00,11,25,20,25.6,65
΢վ2,2022/10/1 13:00,11,27,23,25.4,65
΢վ2,2022/10/1 14:00,12,28,24,25.1,66
΢վ2,2022/10/1 15:00,12,31,25,24.9,67
΢վ2,2022/10/1 16:00,12,28,26,24.3,70
΢վ2,2022/10/1 17:00,12,26,26,23.6,71
΢վ2,2022/10/1 18:00,12,26,27,23.4,71
΢վ2,2022/10/1 19:00,11,25,26,23.4,72
΢վ2,2022/10/1 20:00,10,23,24,23.7,70
΢վ2,2022/10/1 21:00,13,29,24,23.9,70
΢վ2,2022/10/1 22:00,18,39,28,23.8,72
΢վ2,2022/10/1 23:00,18,38,28,23.7,77
΢վ2,2022/10/2 0:00,20,40,29,23.9,79
΢վ2,2022/10/2 1:00,20,40,29,23.9,81
΢վ2,2022/10/2 2:00,15,31,24,24.4,80
΢վ2,2022/10/2 3:00,10,21,28,24.3,82
΢վ2,2022/10/2 4:00,19,37,29,24.3,83
΢վ2,2022/10/2 5:00,22,57,29,24.3,86
΢վ2,2022/10/2 6:00,16,37,31,24.1,88
΢վ2,2022/10/2 7:00,13,29,29,24.2,88
΢վ2,2022/10/2 8:00,17,36,29,24.4,88
΢վ2,2022/10/2 9:00,44,92,28,25,87
΢վ2,2022/10/2 10:00,59,127,26,25.3,86
΢վ2,2022/10/2 11:00,53,112,24,25.4,86
΢վ2,2022/10/2 12:00,16,35,25,25,84
΢վ2,2022/10/2 13:00,16,35,30,24.5,86
΢վ2,2022/10/2 14:00,15,34,26,24.2,86
΢վ2,2022/10/2 15:00,15,38,27,24.2,85
΢վ2,2022/10/2 16:00,18,42,27,24.5,84
΢վ2,2022/10/2 17:00,22,47,28,24.4,85
΢վ2,2022/10/2 18:00,24,52,29,24.7,84
΢վ2,2022/10/2 19:00,30,61,27,24.4,85
΢վ2,2022/10/2 20:00,24,51,27,24.5,85
΢վ2,2022/10/2 21:00,20,44,25,24.4,85
΢վ2,2022/10/2 22:00,25,52,27,24,85
΢վ2,2022/10/2 23:00,34,70,25,23.8,86
΢վ2,2022/10/3 0:00,38,81,27,23.5,88
΢վ2,2022/10/3 1:00,62,122,28,23.1,89
΢վ2,2022/10/3 2:00,72,140,27,23.2,89
΢վ2,2022/10/3 3:00,69,134,26,23.3,88
΢վ2,2022/10/3 4:00,50,98,25,23.2,88
΢վ2,2022/10/3 5:00,52,101,27,23,89
΢վ2,2022/10/3 6:00,60,122,27,23.1,90
΢վ2,2022/10/3 7:00,41,79,30,23.2,89
΢վ2,2022/10/3 8:00,21,41,38,25.5,83
΢վ2,2022/10/3 9:00,15,31,11,26.7,78
΢վ2,2022/10/3 10:00,24,49,21,26.9,77
΢վ2,2022/10/3 11:00,24,50,28,26.9,78
΢վ2,2022/10/3 12:00,25,51,18,27.9,74
΢վ2,2022/10/3 13:00,20,42,26,24.5,84
΢վ2,2022/10/3 14:00,5,14,36,23.2,83
΢վ2,2022/10/3 15:00,6,16,22,23.1,83
΢վ2,2022/10/3 16:00,7,18,23,22.2,83
΢վ2,2022/10/3 17:00,7,16,23,21.2,82
΢վ2,2022/10/3 18:00,7,18,21,18.5,86
΢վ2,2022/10/3 19:00,4,12,27,16.1,88
΢վ2,2022/10/3 20:00,4,10,25,15.5,86
΢վ2,2022/10/3 21:00,5,12,25,15.4,86
΢վ2,2022/10/3 22:00,9,22,23,14.8,85
΢վ2,2022/10/3 23:00,10,23,25,14.7,85
΢վ2,2022/10/4 0:00,15,36,20,14.1,82
΢վ2,2022/10/4 1:00,17,48,19,13.9,75
΢վ2,2022/10/4 2:00,18,51,20,13.8,70
΢վ2,2022/10/4 3:00,17,49,20,13.7,65
΢վ2,2022/10/4 4:00,16,48,23,13.6,66
΢վ2,2022/10/4 5:00,15,45,21,13.2,64
΢վ2,2022/10/4 6:00,15,45,23,13.1,63
΢վ2,2022/10/4 7:00,14,46,19,13.4,58
΢վ2,2022/10/4 8:00,13,44,21,14,55
΢վ2,2022/10/4 9:00,11,42,19,14.9,51
΢վ2,2022/10/4 10:00,10,37,16,16.3,46
΢վ2,2022/10/4 11:00,10,36,19,15.8,48
΢վ2,2022/10/4 12:00,10,34,21,15.4,47
΢վ2,2022/10/4 13:00,10,34,22,15.2,46
΢վ2,2022/10/4 14:00,10,35,22,14.6,48
΢վ2,2022/10/4 15:00,9,30,23,14.2,48
΢վ2,2022/10/4 16:00,9,30,25,13.9,50
΢վ2,2022/10/4 17:00,10,31,25,13,53
΢վ2,2022/10/4 18:00,10,32,25,12.5,53
΢վ2,2022/10/4 19:00,10,32,25,12.5,54
΢վ2,2022/10/4 20:00,11,33,25,12.5,55
΢վ2,2022/10/4 21:00,10,30,23,12.5,54
΢վ2,2022/10/4 22:00,9,28,25,12.3,55
΢վ2,2022/10/4 23:00,9,28,25,12.1,57
΢վ2,2022/10/5 0:00,8,27,24,12.1,55
΢վ2,2022/10/5 1:00,7,25,25,12,54
΢վ2,2022/10/5 2:00,11,31,25,11.8,56
΢վ2,2022/10/5 3:00,9,28,26,11.4,60
΢վ2,2022/10/5 4:00,9,33,27,10.7,63
΢վ2,2022/10/5 5:00,19,54,28,10.3,65
΢վ2,2022/10/5 6:00,17,55,28,10.9,64
΢վ2,2022/10/5 7:00,10,36,18,13.2,52
΢վ2,2022/10/5 8:00,6,21,12,14.4,40
΢վ2,2022/10/5 9:00,6,19,17,15.7,36
΢վ2,2022/10/5 10:00,6,18,17,16.7,33
΢վ2,2022/10/5 11:00,6,17,19,17.9,31
΢վ2,2022/10/5 12:00,5,16,18,18.7,30
΢վ2,2022/10/5 13:00,6,16,20,19.5,30
΢վ2,2022/10/5 14:00,6,17,24,17.7,35
΢վ2,2022/10/5 15:00,6,19,26,17,38
΢վ2,2022/10/5 16:00,8,26,27,16.1,40
΢վ2,2022/10/5 17:00,8,27,27,15.2,46
΢վ2,2022/10/5 18:00,8,24,25,14.5,48
΢վ2,2022/10/5 19:00,9,24,26,14.3,49
΢վ2,2022/10/5 20:00,10,27,26,14.1,52
΢վ2,2022/10/5 21:00,8,22,24,14,51
΢վ2,2022/10/5 22:00,9,22,25,13.9,51
΢վ2,2022/10/5 23:00,10,24,24,13.8,51
΢վ2,2022/10/6 0:00,10,25,25,13.6,52
΢վ2,2022/10/6 1:00,10,24,26,13.4,53
΢վ2,2022/10/6 2:00,14,34,27,13.2,57
΢վ2,2022/10/6 3:00,18,46,28,12.2,61
΢վ2,2022/10/6 4:00,21,50,33,11.2,69
΢վ2,2022/10/6 5:00,25,60,28,11,68
΢վ2,2022/10/6 6:00,24,60,26,11.6,62
΢վ2,2022/10/6 7:00,11,34,20,14.5,47
΢վ2,2022/10/6 8:00,9,31,15,16.8,38
΢վ2,2022/10/6 9:00,7,23,13,17.5,33
΢վ2,2022/10/6 10:00,8,23,19,18.1,31
΢վ2,2022/10/6 11:00,8,21,21,18.1,30
΢վ2,2022/10/6 12:00,8,23,19,18,29
΢վ2,2022/10/6 13:00,8,23,21,18.2,28
΢վ2,2022/10/6 14:00,8,25,24,17.5,30
΢վ2,2022/10/6 15:00,8,28,24,17.3,32
΢վ2,2022/10/6 16:00,9,30,25,16.8,35
΢վ2,2022/10/6 17:00,14,44,34,16,45
΢վ2,2022/10/6 18:00,20,55,29,15.7,50
΢վ2,2022/10/6 19:00,26,61,29,15.7,52
΢վ2,2022/10/6 20:00,31,71,26,15.4,54
΢վ2,2022/10/6 21:00,26,64,28,15.1,52
΢վ2,2022/10/6 22:00,18,54,33,14.2,62
΢վ2,2022/10/6 23:00,18,52,33,13,74
΢վ2,2022/10/7 0:00,12,32,27,12,73
΢վ2,2022/10/7 1:00,11,29,30,11.1,77
΢վ2,2022/10/7 2:00,11,27,29,10.5,80
΢վ2,2022/10/7 3:00,13,29,27,9.7,81
΢վ2,2022/10/7 4:00,19,41,26,9.7,77
΢վ2,2022/10/7 5:00,15,42,29,9.5,82
΢վ2,2022/10/7 6:00,19,47,31,9.9,76
΢վ2,2022/10/7 7:00,33,81,23,14.1,62
΢վ2,2022/10/7 8:00,48,106,13,16.7,49
΢վ2,2022/10/7 9:00,45,97,11,19.2,40
΢վ2,2022/10/7 10:00,35,72,13,21,31
΢վ2,2022/10/7 11:00,33,68,16,22.4,28
΢վ2,2022/10/7 12:00,33,68,17,23.3,25
΢վ2,2022/10/7 13:00,33,70,20,21.8,28
΢վ2,2022/10/7 14:00,30,67,23,20.5,31
΢վ2,2022/10/7 15:00,30,68,25,20.3,30
΢վ2,2022/10/7 16:00,35,81,26,20.1,32
΢վ2,2022/10/7 17:00,44,104,31,17.8,40
΢վ2,2022/10/7 18:00,49,120,37,16.5,50
΢վ2,2022/10/7 19:00,49,109,36,15.2,56
΢վ2,2022/10/7 20:00,54,122,35,13.8,64
΢վ2,2022/10/7 21:00,48,105,33,13.1,67
΢վ2,2022/10/7 22:00,46,99,30,12.6,69
΢վ2,2022/10/7 23:00,47,98,30,12.6,71
΢վ2,2022/10/8 0:00,47,97,28,12.3,72
΢վ2,2022/10/8 1:00,47,94,28,12,74
΢վ2,2022/10/8 2:00,50,99,28,12,74
΢վ2,2022/10/8 3:00,56,110,28,11.7,76
΢վ2,2022/10/8 4:00,61,120,27,11.9,76
΢վ2,2022/10/8 5:00,66,130,28,11.7,77
΢վ2,2022/10/8 6:00,72,150,33,12.2,77
΢վ2,2022/10/8 7:00,68,146,25,15.7,66
΢վ2,2022/10/8 8:00,63,135,14,19.4,52
΢վ2,2022/10/8 9:00,53,112,15,19.3,46
΢վ2,2022/10/8 10:00,43,89,17,20.4,41
΢վ2,2022/10/8 11:00,36,75,17,21.2,38
΢վ2,2022/10/8 12:00,36,73,20,21.1,38
΢վ2,2022/10/8 13:00,37,74,24,21.3,41
΢վ2,2022/10/8 14:00,36,74,23,21,44
΢վ2,2022/10/8 15:00,26,55,23,19.8,41
΢վ2,2022/10/8 16:00,13,37,26,19,43
΢վ2,2022/10/8 17:00,15,43,28,18.7,44
΢վ2,2022/10/8 18:00,17,52,30,18.4,48
΢վ2,2022/10/8 19:00,15,45,28,18.3,49
΢վ2,2022/10/8 20:00,14,40,28,18,51
΢վ2,2022/10/8 21:00,13,38,28,17.9,51
΢վ2,2022/10/8 22:00,13,39,29,17.9,54
΢վ2,2022/10/8 23:00,15,42,29,17.9,57
΢վ2,2022/10/9 0:00,17,49,30,17.6,61
΢վ2,2022/10/9 1:00,17,51,28,18,61
΢վ2,2022/10/9 2:00,15,45,25,18,59
΢վ2,2022/10/9 3:00,15,45,24,18,58
΢վ2,2022/10/9 4:00,17,48,27,17.9,59
΢վ2,2022/10/9 5:00,19,54,29,17.6,61
΢վ2,2022/10/9 6:00,20,61,28,17.6,62
΢վ2,2022/10/9 7:00,24,68,28,17.3,64
΢վ2,2022/10/9 8:00,21,61,29,14.3,78
΢վ2,2022/10/9 9:00,14,52,28,12.4,77
΢վ2,2022/10/9 10:00,13,52,28,12.4,74
΢վ2,2022/10/9 11:00,13,52,25,13,71
΢վ2,2022/10/9 12:00,7,42,11,15.8,50
΢վ2,2022/10/9 13:00,7,38,16,17,38
΢վ2,2022/10/9 14:00,6,38,17,17.8,35
΢վ2,2022/10/9 15:00,6,36,20,17.3,35
΢վ2,2022/10/9 16:00,5,42,23,15.9,36
΢վ2,2022/10/9 17:00,5,48,26,14.2,40
΢վ2,2022/10/9 18:00,5,49,26,13.6,41
΢վ2,2022/10/9 19:00,6,46,25,13.5,42
΢վ2,2022/10/9 20:00,6,47,26,13.2,45
΢վ2,2022/10/9 21:00,6,44,27,12.4,49
΢վ2,2022/10/9 22:00,6,48,27,11.7,50
΢վ2,2022/10/9 23:00,6,46,27,11.2,52
΢վ2,2022/10/10 0:00,7,47,28,10.6,56
΢վ2,2022/10/10 1:00,7,33,34,10.5,67
΢վ2,2022/10/10 2:00,8,29,29,9.9,76
΢վ2,2022/10/10 3:00,9,40,21,9.4,67
΢վ2,2022/10/10 4:00,6,28,22,9.2,55
΢վ2,2022/10/10 5:00,6,29,26,8.9,54
΢վ2,2022/10/10 6:00,6,30,27,9.3,54
΢վ2,2022/10/10 7:00,6,29,22,11,48
΢վ2,2022/10/10 8:00,11,48,192,14.7,43
΢վ2,2022/10/10 9:00,11,46,171,15.9,37
΢վ2,2022/10/10 10:00,8,42,20,20.7,30
΢վ2,2022/10/10 11:00,7,22,16,22,29
΢վ2,2022/10/10 12:00,5,19,19,2.3,2
΢վ2,2022/10/10 13:00,10,33,58,22.6,22
΢վ2,2022/10/10 14:00,10,34,79,21.7,23
΢վ2,2022/10/10 15:00,10,34,69,22.4,22
΢վ2,2022/10/10 16:00,11,34,70,22.1,23
΢վ2,2022/10/10 17:00,11,34,82,21.4,24
΢վ2,2022/10/10 18:00,9,35,99,19.8,25
΢վ2,2022/10/10 19:00,10,36,122,18.6,29
΢վ2,2022/10/10 20:00,10,37,155,17.1,34
΢վ2,2022/10/10 21:00,13,40,163,16.5,35
΢վ2,2022/10/10 22:00,14,38,171,16.2,36
΢վ2,2022/10/10 23:00,12,36,177,15.9,40
΢վ2,2022/10/11 0:00,12,38,185,15.4,46
΢վ2,2022/10/11 1:00,16,43,199,14.8,51
΢վ2,2022/10/11 2:00,22,50,198,14.5,54
΢վ2,2022/10/11 3:00,23,59,202,14.5,52
΢վ2,2022/10/11 4:00,23,64,198,14.8,51
΢վ2,2022/10/11 5:00,23,66,193,14.8,53
΢վ2,2022/10/11 6:00,26,72,193,15,54
΢վ2,2022/10/11 7:00,28,76,188,15,54
΢վ2,2022/10/11 8:00,31,82,187,15.3,51
΢վ2,2022/10/11 9:00,31,77,165,16.8,46
΢վ2,2022/10/11 10:00,25,61,128,18.2,36
΢վ2,2022/10/11 11:00,21,52,109,19.2,33
΢վ2,2022/10/11 12:00,18,47,88,20.9,33
΢վ2,2022/10/11 13:00,19,46,74,22.3,32
΢վ2,2022/10/11 14:00,20,47,65,23.4,30
΢վ2,2022/10/11 15:00,21,48,56,24.1,30
΢վ2,2022/10/11 16:00,20,48,51,23.7,32
΢վ2,2022/10/11 17:00,19,48,64,22.7,33
΢վ2,2022/10/11 18:00,22,53,93,21.5,37
΢վ2,2022/10/11 19:00,24,55,117,20.6,40
΢վ2,2022/10/11 20:00,23,53,121,20.1,43
΢վ2,2022/10/11 21:00,15,42,117,19.4,46
΢վ2,2022/10/11 22:00,14,49,123,19,50
΢վ2,2022/10/11 23:00,15,48,116,18.5,54
΢վ2,2022/10/12 0:00,17,58,130,17.9,57
΢վ2,2022/10/12 1:00,17,56,142,17.3,60
΢վ2,2022/10/12 2:00,16,47,143,16.8,64
΢վ2,2022/10/12 3:00,17,52,143,16.7,65
΢վ2,2022/10/12 4:00,18,51,150,16.4,67
΢վ2,2022/10/12 5:00,20,52,156,16.1,68
΢վ2,2022/10/12 6:00,47,90,165,15.9,68
΢վ2,2022/10/12 7:00,35,107,167,16.1,67
΢վ2,2022/10/12 8:00,34,100,150,17.4,64
΢վ2,2022/10/12 9:00,15,47,120,19.1,54
΢վ2,2022/10/12 10:00,9,34,88,20.3,48
΢վ2,2022/10/12 11:00,10,34,78,21,45
΢վ2,2022/10/12 12:00,10,32,66,21.7,42
΢վ2,2022/10/12 13:00,9,30,52,22.9,39
΢վ2,2022/10/12 14:00,9,31,49,23.6,37
΢վ2,2022/10/12 15:00,13,60,43,24.3,36
΢վ2,2022/10/12 16:00,11,33,39,24.1,37
΢վ2,2022/10/12 17:00,10,33,51,23.7,38
΢վ2,2022/10/12 18:00,12,39,68,22.1,42
΢վ2,2022/10/12 19:00,10,38,82,21.2,45
΢վ2,2022/10/12 20:00,11,41,92,20.3,47
΢վ2,2022/10/12 21:00,11,40,104,19.7,50
΢վ2,2022/10/12 22:00,11,38,102,19,52
΢վ2,2022/10/12 23:00,13,39,112,18.6,54
΢վ2,2022/10/13 0:00,14,41,122,18.7,56
΢վ2,2022/10/13 1:00,15,42,119,18.4,58
΢վ2,2022/10/13 2:00,18,50,130,17.9,60
΢վ2,2022/10/13 3:00,21,53,142,17.7,60
΢վ2,2022/10/13 4:00,25,71,136,17.7,62
΢վ2,2022/10/13 5:00,29,81,142,17.5,62
΢վ2,2022/10/13 6:00,26,71,146,17.2,62
΢վ2,2022/10/13 7:00,27,87,148,17,64
΢վ2,2022/10/13 8:00,22,73,137,18.2,60
΢վ2,2022/10/13 9:00,9,38,98,19.4,54
΢վ2,2022/10/13 10:00,10,38,84,20.7,53
΢վ2,2022/10/13 11:00,9,34,64,21.8,50
΢վ2,2022/10/13 12:00,10,33,44,23.3,47
΢վ2,2022/10/13 13:00,9,31,32,24.6,42
΢վ2,2022/10/13 14:00,10,30,30,26,38
΢վ2,2022/10/13 15:00,9,32,20,27.7,34
΢վ2,2022/10/13 16:00,10,33,18,27.9,34
΢վ2,2022/10/13 17:00,11,39,29,27,37
΢վ2,2022/10/13 18:00,12,42,50,25.3,41
΢վ2,2022/10/13 19:00,13,46,68,23.8,46
΢վ2,2022/10/13 20:00,15,52,76,22.9,50
΢վ2,2022/10/13 21:00,16,52,72,21.8,57
΢վ2,2022/10/13 22:00,16,53,71,20.8,63
΢վ2,2022/10/13 23:00,18,63,80,20.2,67
΢վ2,2022/10/14 0:00,21,80,78,19.8,67
΢վ2,2022/10/14 1:00,19,61,80,19.5,70
΢վ2,2022/10/14 2:00,22,67,101,19.2,71
΢վ2,2022/10/14 3:00,24,70,104,18.9,72
΢վ2,2022/10/14 4:00,26,76,104,18.9,71
΢վ2,2022/10/14 5:00,31,92,107,18.7,72
΢վ2,2022/10/14 6:00,47,128,107,18.4,73
΢վ2,2022/10/14 7:00,36,105,108,18.5,74
΢վ2,2022/10/14 8:00,22,55,113,19.5,71
΢վ2,2022/10/14 9:00,24,49,92,20.8,67
΢վ2,2022/10/14 10:00,19,60,68,21.9,64
΢վ2,2022/10/14 11:00,16,52,52,23.5,56
΢վ2,2022/10/14 12:00,14,39,40,24.3,52
΢վ2,2022/10/14 13:00,14,39,31,25.5,47
΢վ2,2022/10/14 14:00,17,43,30,25.5,47
΢վ2,2022/10/14 15:00,17,47,28,25.8,46
΢վ2,2022/10/14 16:00,18,45,36,25.7,45
΢վ2,2022/10/14 17:00,19,47,38,25.6,44
΢վ2,2022/10/14 18:00,20,53,61,24.7,48
΢վ2,2022/10/14 19:00,19,53,70,23.5,52
΢վ2,2022/10/14 20:00,17,48,78,22.9,55
΢վ2,2022/10/14 21:00,15,43,64,21.8,59
΢վ2,2022/10/14 22:00,18,49,74,21,63
΢վ2,2022/10/14 23:00,21,55,78,20.4,65
΢վ2,2022/10/15 0:00,23,63,92,20.2,66
΢վ2,2022/10/15 1:00,23,65,91,20,68
΢վ2,2022/10/15 2:00,30,81,106,19.6,67
΢վ2,2022/10/15 3:00,30,81,100,19.2,68
΢վ2,2022/10/15 4:00,36,91,94,19.1,67
΢վ2,2022/10/15 5:00,40,103,109,18.6,69
΢վ2,2022/10/15 6:00,43,123,118,17.9,72
΢վ2,2022/10/15 7:00,51,153,119,17.9,73
΢վ2,2022/10/15 8:00,43,115,109,18.8,70
΢վ2,2022/10/15 9:00,32,79,90,20,65
΢վ2,2022/10/15 10:00,16,39,58,21.4,55
΢վ2,2022/10/15 11:00,16,38,46,22.7,51
΢վ2,2022/10/15 12:00,17,39,38,24.3,47
΢վ2,2022/10/15 13:00,17,35,29,25.5,43
΢վ2,2022/10/15 14:00,16,34,18,26.4,40
